t(s)	v_x(t)	v_y(t)	v_z(t)
4.35000000000000e-01	8.13179587011213e-07	1.19035516411967e-07	9.04715331956409e-07
4.40000000000000e-01	8.31589734979770e-07	1.17579514321804e-07	9.35500174924540e-07
4.45000000000000e-01	8.45804456513675e-07	1.25135566198182e-07	9.44279301449323e-07
4.50000000000000e-01	8.65573323023598e-07	1.23965335994501e-07	9.77167853626892e-07
4.55000000000000e-01	8.80959573902468e-07	1.29882816512301e-07	9.87838278622140e-07
4.60000000000000e-01	9.02208717953144e-07	1.29005003637235e-07	1.02265371308047e-06
4.65000000000000e-01	9.18911204142452e-07	1.51687907604205e-07	1.03498154333401e-06
4.70000000000000e-01	9.41892593003412e-07	1.41446722473969e-07	1.07196672348171e-06
4.75000000000000e-01	9.60183393371722e-07	1.53400268124698e-07	1.08691254662439e-06
4.80000000000000e-01	9.85172410177190e-07	1.51266564383901e-07	1.12742955134552e-06
4.85000000000000e-01	1.00519305819556e-06	1.63293809971516e-07	1.14532060634955e-06
4.90000000000000e-01	1.03230043859726e-06	1.62490496675224e-07	1.18845128217495e-06
4.95000000000000e-01	1.05433533846797e-06	1.75028836304138e-07	1.20898014129658e-06
5.00000000000000e-01	1.08417560080148e-06	1.74949443625968e-07	1.25629703903564e-06
5.05000000000000e-01	1.10882084104263e-06	1.88570703233065e-07	1.28217781704617e-06
5.10000000000000e-01	1.14180977281504e-06	1.90046610288943e-07	1.33584408426580e-06
5.15000000000000e-01	1.16916769809437e-06	2.05146563130724e-07	1.36571164103159e-06
5.20000000000000e-01	1.20540569084356e-06	2.07363352160564e-07	1.42161838064741e-06
5.25000000000000e-01	1.23616773949991e-06	2.23265189988688e-07	1.45567592294675e-06
5.30000000000000e-01	1.27711651461106e-06	2.26778989269411e-07	1.52261761999745e-06
5.35000000000000e-01	1.31250762290937e-06	2.46266301262466e-07	1.57272484335781e-06
5.40000000000000e-01	1.35881377864876e-06	2.54085587229423e-07	1.65471707825253e-06
5.45000000000000e-01	1.39923888515106e-06	2.75642190808005e-07	1.70396030829538e-06
5.50000000000000e-01	1.45149391245901e-06	2.81127670523759e-07	1.77618088454888e-06
5.55000000000000e-01	1.49817333841655e-06	3.02691786605936e-07	1.83887679118815e-06
5.60000000000000e-01	1.55807775940550e-06	3.13454038612438e-07	1.95858407961366e-06
5.65000000000000e-01	1.61301819631135e-06	3.52572307392758e-07	2.06564084236013e-06
5.70000000000000e-01	1.68373200196287e-06	3.92972379431917e-07	2.21100993698634e-06
5.75000000000000e-01	1.75385302821712e-06	4.17944416302220e-07	2.32364040941799e-06
5.80000000000000e-01	1.84059484791737e-06	4.24936834577528e-07	2.46688715260728e-06
5.85000000000000e-01	1.92921208396131e-06	4.51096866290633e-07	2.59031625069405e-06
5.90000000000000e-01	2.05872562338087e-06	4.85441994841347e-07	2.77204425056544e-06
5.95000000000000e-01	2.14495354576434e-06	5.58247698491863e-07	2.96233078156372e-06
6.00000000000000e-01	2.27045927655510e-06	6.64202409253516e-07	3.29938440707108e-06
6.05000000000000e-01	2.37688675609595e-06	8.25893207457671e-07	3.75550097181246e-06
6.10000000000000e-01	2.54854307614482e-06	9.51077539176357e-07	4.56781878075442e-06
6.15000000000000e-01	2.84805632378711e-06	1.07014855904053e-06	4.40871891038668e-06
6.20000000000000e-01	3.31206862682741e-06	1.42748770398682e-06	6.12227676549580e-06
6.25000000000000e-01	3.07861142145746e-06	2.35954778795660e-06	1.00091817805711e-05
6.30000000000000e-01	5.24590265456578e-06	1.95504408390459e-06	-4.20153824838477e-06
6.35000000000000e-01	1.16314265448263e-05	-3.30739921744858e-06	-3.43246536244557e-05
6.40000000000000e-01	1.48873811678757e-05	-8.80836846393498e-06	-4.27923336723436e-05
6.45000000000000e-01	1.27169228528563e-05	-5.77010532977238e-06	-2.09184061220218e-05
6.50000000000000e-01	8.39127414948913e-06	2.70096567177280e-06	4.05873430113417e-06
6.55000000000000e-01	7.86505029426627e-07	5.60320404626115e-06	1.00236195188891e-05
6.60000000000000e-01	-7.93752094719710e-06	3.36908205967513e-06	-7.26492854701211e-06
6.65000000000000e-01	-1.15452337884220e-05	3.22584724637281e-06	-2.67001659984682e-05
6.70000000000000e-01	-9.53721659746581e-06	4.15706059704472e-06	-2.42101948198072e-05
6.75000000000000e-01	-4.67890104107251e-06	5.81837607151261e-06	8.35987837811935e-07
6.80000000000000e-01	-8.68157772140514e-07	5.24566484654986e-06	2.47941770019460e-05
6.85000000000000e-01	-2.42345671006063e-07	-1.31510318300607e-06	2.00826100313603e-05
6.90000000000000e-01	-2.84860724313664e-06	-7.14576640207257e-06	-2.56187351250188e-06
6.95000000000000e-01	-6.07626409516618e-06	-3.23243683004255e-06	-1.17347147659706e-05
7.00000000000000e-01	-3.83830869126683e-06	4.46611473246117e-06	-1.04187910159857e-06
7.05000000000000e-01	4.11045017445325e-06	5.18624094519112e-06	6.35074970642488e-06
7.10000000000000e-01	9.48836483758199e-06	-1.11504845384488e-06	-4.25219854978082e-06
7.15000000000000e-01	7.41008856119426e-06	-4.36968873418358e-06	-1.79467960842774e-05
7.20000000000000e-01	2.41312938322342e-06	-3.98545325568702e-07	-1.67918926137566e-05
7.25000000000000e-01	1.21759632119191e-06	3.27865129395487e-06	-7.68194517315118e-06
7.30000000000000e-01	3.60761710824073e-06	1.63819238683828e-06	-2.55488757963316e-06
7.35000000000000e-01	3.39600516842578e-06	-1.44152165824009e-06	-5.12578424222092e-06
7.40000000000000e-01	-1.14437639031407e-06	-3.27228105644203e-07	-1.16493966830434e-05
7.45000000000000e-01	-6.64275659720381e-06	3.62722007006048e-06	-1.26546578833398e-05
7.50000000000000e-01	-8.61017742537879e-06	5.78488646960841e-06	-4.06255641228095e-06
7.55000000000000e-01	-6.44748540597701e-06	3.93718474203810e-06	3.49377560598825e-06
7.60000000000000e-01	-3.31801591971319e-06	-4.24421558302720e-07	1.99260524137893e-06
7.65000000000000e-01	-2.30402325179820e-06	-2.42090000112938e-06	-3.57827654075852e-06
7.70000000000000e-01	-2.34300725317427e-06	-4.17495993618405e-07	-2.42850330786609e-06
7.75000000000000e-01	-1.23385083014844e-06	1.38282181479221e-06	1.79251053375135e-06
7.80000000000000e-01	1.02771234858891e-06	-3.12534397507974e-07	1.86004880065717e-07
7.85000000000000e-01	2.56154677929097e-06	-2.61314085998025e-06	-5.43822328080353e-06
7.90000000000000e-01	1.70811999430253e-06	-2.39859461419561e-06	-7.83316478966145e-06
7.95000000000000e-01	1.07920507886798e-06	-4.71831894094176e-07	-8.10933149305037e-06
8.00000000000000e-01	1.67065558054377e-06	6.35879690702737e-08	-8.57402596605851e-06
8.05000000000000e-01	1.71079966222478e-06	-7.62944988233980e-07	-5.96721531466190e-06
8.10000000000000e-01	2.95438702754309e-07	-1.18520288270386e-08	-9.36961715672098e-07
8.15000000000000e-01	-1.73224424720305e-06	2.28914243175611e-06	1.19179990632937e-06
8.20000000000000e-01	-2.93503094963365e-06	3.13132124535407e-06	-1.41418307028181e-06
8.25000000000000e-01	-1.83739795447260e-06	1.78922033169001e-06	-5.78393133287793e-06
8.30000000000000e-01	-2.34824223403668e-07	4.00015326168602e-07	-4.70682445457282e-06
8.35000000000000e-01	9.21808654270638e-08	1.96670712473500e-07	5.92803390180649e-07
8.40000000000000e-01	7.72366442187809e-07	4.81182135387415e-07	8.29976987942812e-07
8.45000000000000e-01	2.56338635127885e-06	-1.42064589358349e-06	-4.51902020071256e-06
8.50000000000000e-01	2.89400244153967e-06	-3.71991307769400e-06	-6.22749562626451e-06
8.55000000000000e-01	1.57683831209518e-06	-2.18458539171672e-06	-2.55890480658576e-06
8.60000000000000e-01	2.43415025932929e-07	8.89252163442896e-07	-2.26865601023762e-06
8.65000000000000e-01	-4.17729909239065e-07	8.92767250398060e-07	-7.11562953121610e-06
8.70000000000000e-01	-1.65277024743876e-06	1.16881614416798e-07	-9.45958404281118e-06
8.75000000000000e-01	-2.73729213283109e-06	1.43638262274797e-06	-5.97532145605424e-06
8.80000000000000e-01	-2.63856052141984e-06	3.04880996696682e-06	-1.18926448546476e-06
8.85000000000000e-01	-1.86667400473549e-06	2.35889645010972e-06	4.21180303899364e-07
8.90000000000000e-01	-1.44884689820467e-06	1.01664539111035e-06	-1.28518885189672e-06
8.95000000000000e-01	-1.37388341805482e-06	1.93874749697153e-07	-2.33775916240302e-06
9.00000000000000e-01	-1.99081600851924e-06	5.43475417211037e-07	-5.01267473728057e-07
9.05000000000000e-01	-2.18165642081730e-06	1.28267312473607e-06	3.70212075630915e-06
9.10000000000000e-01	-1.83010439921359e-06	1.24440371243602e-06	6.24137735730228e-06
9.15000000000000e-01	-1.49754578243031e-06	1.98129216726052e-07	2.48743853844041e-06
9.20000000000000e-01	-1.83105186025605e-06	-8.22328688747021e-07	-5.81574170508317e-06
9.25000000000000e-01	-1.94091655920541e-06	-7.53165465772901e-07	-8.22911691376127e-06
9.30000000000000e-01	-1.24131031454149e-06	2.55828758300436e-07	-5.15877964826856e-06
9.35000000000000e-01	-4.82323206326173e-07	3.26241435295563e-07	-2.19512092798307e-06
9.40000000000000e-01	-5.97138075856423e-07	-6.56431714861505e-07	-2.17962777050310e-06
9.45000000000000e-01	-1.59507902231680e-06	-8.06356885397069e-07	-2.73969097246520e-06
9.50000000000000e-01	-2.49648904615054e-06	4.63192792578164e-07	-2.79742303359165e-06
9.55000000000000e-01	-2.02408584217610e-06	7.07268555852206e-07	-2.04516910298260e-06
9.60000000000000e-01	-1.08316449636519e-06	-3.93805708882748e-08	-3.94756069153499e-07
9.65000000000000e-01	-9.35250199193212e-07	-1.01947585869752e-08	2.59952922907036e-07
9.70000000000000e-01	-1.79952184257554e-06	5.53092961020818e-07	-3.74930318983234e-07
9.75000000000000e-01	-2.85280703181669e-06	6.99680595339438e-07	-1.68399308188603e-06
9.80000000000000e-01	-2.81930889887276e-06	6.30213850555502e-07	-1.96343723261556e-06
9.85000000000000e-01	-1.86999610567276e-06	3.19968109175210e-07	-2.17208568255537e-06
9.90000000000000e-01	-5.08922362156323e-07	-3.29829835351520e-07	-2.55144453760005e-06
9.95000000000000e-01	4.75773825540371e-07	-5.85899603319132e-07	-2.47668550669869e-06
1.00000000000000e+00	4.69773185560944e-07	-1.06528858454632e-07	-1.51066449651696e-06
1.00500000000000e+00	3.39700911894768e-07	2.86173449622742e-07	-1.84782575324480e-06
1.01000000000000e+00	3.51988356746429e-07	-5.95392787010423e-07	-3.38343915289556e-06
1.01500000000000e+00	8.00637594950500e-08	-1.00409089138340e-06	-1.01287187010769e-06
1.02000000000000e+00	-6.68893474075253e-07	-2.35722020713909e-08	2.26235266975806e-06
1.02500000000000e+00	-7.97870200992503e-07	6.89899255908932e-07	2.33078249034327e-06
1.03000000000000e+00	-1.85864534611063e-07	-4.47070401018502e-08	-2.11099963905750e-07
1.03500000000000e+00	3.92177857061008e-07	-7.85460797006595e-07	-1.75463130493809e-06
1.04000000000000e+00	8.27133580241792e-07	-4.31991447666671e-07	-1.60311144702605e-06
1.04500000000000e+00	1.17140468495580e-06	-5.22769409045115e-07	-4.05572256373642e-07
1.05000000000000e+00	8.43672408892881e-07	-6.61027059015783e-07	3.18740543112472e-07
1.05500000000000e+00	-4.89220261569351e-08	-7.30029039457433e-07	1.67277784535361e-07
1.06000000000000e+00	-1.32059176240142e-06	-3.13066530069803e-07	-1.80031966836934e-07
1.06500000000000e+00	-2.04141126410364e-06	6.47560611073431e-08	-4.81045675071136e-07
1.07000000000000e+00	-2.08665986337943e-06	2.98393035807459e-07	4.89475138925768e-08
1.07500000000000e+00	-1.63411714030777e-06	3.14609672112053e-07	1.98064236302182e-08
1.08000000000000e+00	-1.53831443863721e-06	-1.52054492029811e-07	-7.34561570157927e-07
1.08500000000000e+00	-1.38026839874413e-06	-9.15452345191970e-07	-2.90006192816518e-06
1.09000000000000e+00	-8.83950260355103e-07	-1.66752725640683e-06	-4.53901316875010e-06
1.09500000000000e+00	-2.90806453624192e-07	-1.39288070036100e-06	-3.09325915150999e-06
1.10000000000000e+00	-4.27946377432281e-07	-4.06081085611409e-07	-1.00140492189686e-06
1.10500000000000e+00	-1.23687530251566e-06	-8.67155940311412e-08	-2.27746521640492e-07
1.11000000000000e+00	-1.90994570062487e-06	-1.75464179837137e-07	-1.54946541934755e-06
1.11500000000000e+00	-2.15412671968059e-06	-1.94573747995500e-07	-3.11129625480083e-06
1.12000000000000e+00	-1.57629821359585e-06	1.34927102979867e-07	-2.65789435165268e-06
1.12500000000000e+00	-4.67495835872878e-07	1.16435682456155e-07	-5.19213825531517e-07
1.13000000000000e+00	4.38586075537057e-07	-5.94517596208825e-08	9.38784458163262e-07
1.13500000000000e+00	1.01337705182991e-06	-4.91637424857648e-07	1.46014878434389e-06
1.14000000000000e+00	1.31522719706606e-06	-9.49438777064263e-07	4.79257336546720e-07
1.14500000000000e+00	1.18635256936511e-06	-1.18058480442180e-06	-1.27983348641969e-06
1.15000000000000e+00	4.98455299495743e-07	-1.10992617944184e-06	-1.76372899189369e-06
1.15500000000000e+00	-2.48023478405356e-07	-9.24292788223157e-07	-4.31536193056039e-07
1.16000000000000e+00	-9.31625215618811e-07	-7.65134631552465e-08	5.97785171425372e-07
1.16500000000000e+00	-1.65844023464229e-06	4.26418869773858e-07	1.70997756047933e-07
1.17000000000000e+00	-1.62651182188454e-06	3.36455513605176e-07	-1.24238657836034e-06
1.17500000000000e+00	-9.57432797660148e-07	-1.35030381837674e-07	-1.51776067317619e-06
1.18000000000000e+00	-1.19292993870079e-07	-2.22658262393141e-07	-5.71380002849878e-08
1.18500000000000e+00	3.11942607751799e-07	-9.94568881850416e-08	9.46526656188945e-07
1.19000000000000e+00	4.05431193748775e-07	-2.38803093702261e-07	8.65899516496554e-07
1.19500000000000e+00	1.00643037845167e-07	-5.00345066037369e-07	-1.14934683812852e-06
1.20000000000000e+00	-2.76649595718458e-07	-5.22610484301391e-07	-2.43975945504312e-06
1.20500000000000e+00	-3.67166820590282e-07	-1.01520110212082e-07	-1.43750190597714e-06
1.21000000000000e+00	-6.77353867191564e-08	1.83948180893255e-07	-1.30793514909379e-07
1.21500000000000e+00	-1.13548243989238e-07	3.12235058944178e-07	1.88322089587979e-07
1.22000000000000e+00	-6.18761356772998e-07	4.40452134171180e-07	-1.93706864080620e-07
1.22500000000000e+00	-9.14919770331918e-07	6.28377611288807e-07	-8.64927202988889e-07
1.23000000000000e+00	-1.17848063846036e-06	7.30696655110905e-07	-1.21440782596082e-06
1.23500000000000e+00	-1.10030449679165e-06	6.15099030298996e-07	-8.00483760467807e-07
1.24000000000000e+00	-7.02952593111512e-07	3.28774543645825e-07	-2.71524148518063e-07
1.24500000000000e+00	-3.81036390349871e-07	8.87280917340303e-08	1.85202158922360e-07
1.25000000000000e+00	-5.92194375243859e-07	9.21733903353796e-08	1.43304262297584e-06
1.25500000000000e+00	-1.01161840573119e-06	5.79060841938478e-07	1.97736609236977e-06
1.26000000000000e+00	-8.98793424089125e-07	7.19838808561233e-07	1.01805402697836e-06
1.26500000000000e+00	4.17464195510988e-08	9.03704280621901e-08	-3.22859281443416e-07
1.27000000000000e+00	6.07556047042502e-07	-3.15215336561461e-07	-7.09206454854708e-07
1.27500000000000e+00	4.30820661271626e-07	-2.54596361124845e-07	-5.21462617714992e-07
1.28000000000000e+00	-7.59317281355695e-08	-4.01054313640063e-08	-2.13986118238003e-07
